Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09,29.6675,30.3476,29.6478,30.2786,72266529,69.8092,70.5638,69.3485,70.5148,15900655,234.4585,238.4683,233.7374,238.153,2434002,109.1802,111.3356,108.7785,111.1103,11368094,52.5673,53.1849,52.1163,53.077,7114842,52.163,52.6753,52.0654,52.4655,16286719
2018-05-10,30.1702,30.6235,29.9829,30.4461,54773215,70.5246,71.4753,70.162,71.1224,11488902,238.5274,241.7884,236.6106,239.8377,2598955,110.8947,112.1194,110.4636,111.9724,9159709,53.1653,54.1162,52.8025,53.9594,8208570,52.8266,53.4122,52.3387,53.3341,20698959
2018-05-11,30.4658,30.5841,30.3673,30.4757,42024768,71.0832,71.7791,71.0146,71.4067,11531356,239.8377,241.286,238.1333,239.3254,1540146,112.1684,112.4035,111.365,111.5511,10253045,54.0182,54.4496,53.8025,54.1162,6063094,53.3731,53.6025,52.9584,53.1389,14423966
2018-05-14,30.594,30.7813,30.5841,30.6728,41791621,71.4753,71.8379,71.0538,71.1714,12615455,239.9954,242.2416,239.8968,240.3008,1928526,111.7961,112.3741,111.4336,111.5903,8710654,54.2633,54.5476,54.028,54.1358,5815967,53.461,53.5,53.0218,53.1682,12809098
2018-05-15,30.4757,30.9094,30.4067,30.7714,64433546,71.0636,71.5635,70.9215,71.2302,12483263,239.4042,240.3402,237.1087,237.9855,2165705,111.6001,111.6001,110.2873,110.738,11536212,53.9594,54.3319,53.43,53.7731,7523359,53.1194,53.9489,53.0657,53.4317,14991071
2018-05-16,30.732,30.801,30.5743,30.6137,43590053,70.995,71.3087,70.3776,70.5148,11795981,237.6998,238.2614,237.0299,237.3944,1965177,110.6008,111.3846,110.3461,111.0417,7571089,53.4692,54.0819,53.43,53.8907,4517653,53.3829,53.988,53.2463,53.7147,16450178
2018-05-17,30.594,30.6334,30.2293,30.3673,45981500,70.2992,70.603,69.6571,70.1326,14876030,236.8624,238.8525,235.2467,235.5619,2462688,110.9045,111.1103,109.9248,110.6694,8617204,53.8123,54.0672,53.2731,53.7927,4576778,53.0901,53.3536,52.729,52.9144,21622360
2018-05-18,30.3279,30.3476,29.7956,29.8252,58641738,69.8386,69.8974,68.4959,68.5645,16160712,234.5767,235.2073,233.3649,233.493,2698990,110.4636,110.5126,108.5924,108.8765,11806349,53.4888,53.8515,52.8123,52.8614,6702437,52.8461,53.1096,52.3923,52.407,21492739
2018-05-21,30.0815,30.2392,30.042,30.111,34983266,69.2407,69.4564,68.8977,69.0251,9798514,235.5619,236.5176,233.8083,234.1827,1951741,109.7778,110.2579,109.6505,109.8758,9441931,53.3613,53.8613,53.1751,53.2927,5901704,52.7778,53.3146,52.7681,53.2267,11491448
2018-05-22,30.1603,30.6925,30.1012,30.4461,61103045,69.3779,70.26,69.1035,69.6622,14147149,235.1679,237.1373,234.4585,234.4782,2551478,110.0717,111.9677,110.013,110.7184,11507550,53.3908,54.3123,53.381,53.8025,5930382,53.3146,54.3057,53.1291,53.9294,17398192
2018-05-23,30.2687,30.318,29.6493,30.0026,73893110,69.2407,69.2897,67.8491,68.8389,13626655,233.3748,234.3501,230.9118,234.291,3114002,110.2285,110.4832,108.8667,110.2089,11453916,53.4104,53.5339,52.5722,53.2829,6529702,53.7049,54.8272,53.3097,54.8272,23566091
2018-05-24,29.9632,29.973,29.4014,29.7759,62146183,68.4469,68.4959,67.1238,67.9275,16553659,233.0989,233.6605,230.1926,232.6063,2308658,109.866,109.8758,107.8821,108.9745,14084769,53.0672,53.2143,52.131,52.9398,6637304,54.5247,54.554,53.1243,53.3536,24673369
2018-05-25,29.5788,29.7562,29.4506,29.7266,44166742,67.5551,67.5551,66.8494,67.0748,16008746,231.5226,232.626,230.8133,231.5325,1985610,108.2201,108.8275,107.9604,108.416,8283548,52.6065,52.7731,51.68,51.9692,10152793,53.2853,53.6659,53.217,53.5781,17741852
2018-05-29,29.3324,29.3718,28.2876,28.5439,135895025,65.7812,66.1536,63.8995,64.3993,37721402,228.0941,229.0301,221.6903,223.6706,5323609,106.966,106.9856,102.8267,103.7819,30643840,51.1555,51.2928,48.5379,48.9791,26605112,52.7388,52.9535,51.3725,51.675,31603954
2018-05-30,28.8691,29.1747,28.741,29.0663,79435291,65.2323,65.5459,64.8305,65.3499,19040496,226.3499,227.0677,223.72,226.5675,3348589,105.4573,106.3978,104.4873,106.1529,17490845,49.7046,50.1899,49.1066,49.9693,11542623,52.3679,53.1284,52.0947,52.9242,16416151
2018-05-31,28.898,28.9574,28.5269,28.7397,97509300,65.2225,65.6145,64.4385,65.3597,22632989,224.768,225.5293,221.5548,223.3246,5334873,105.761,105.9961,104.262,104.84,19808203,49.7046,49.783,48.9203,49.1556,15150422,52.9047,53.0706,52.4997,52.69,17515910
